ligand_id,is_known_active,enopt_score,enopt_rank
CHEMBL40365,0,0.769367516040802,370
CHEMBL39021,0,0.769367516040802,371
CHEMBL19289,0,0.769367516040802,372
CHEMBL10060,0,0.769367516040802,373
CHEMBL22658,0,0.769367516040802,374
CHEMBL22454,0,0.769367516040802,375
CHEMBL40099,0,0.769367516040802,376
CHEMBL18723,0,0.769367516040802,377
CHEMBL19112,0,0.769367516040802,378
CHEMBL16954,0,0.769367516040802,379
CHEMBL17056,0,0.769367516040802,380
CHEMBL18623,0,0.769367516040802,381
CHEMBL9776,0,0.769367516040802,382
CHEMBL6893,0,0.769367516040802,383
CHEMBL6542,0,0.769367516040802,384
CHEMBL1077248,0,0.769367516040802,385
CHEMBL17117,0,0.769367516040802,386
CHEMBL17099,0,0.769367516040802,387
CHEMBL37651,0,0.7692884802818298,388
CHEMBL40379,0,0.7684432864189148,389
CHEMBL8820,0,0.7684432864189148,390
CHEMBL24750,0,0.7664620280265808,391
CHEMBL29421,0,0.7664620280265808,392
CHEMBL4436005,0,0.7664620280265808,393
CHEMBL16173,0,0.7659848928451538,394
CHEMBL13158,0,0.7659848928451538,395
CHEMBL43831,0,0.7659848928451538,396
CHEMBL29729,0,0.7659848928451538,397
CHEMBL25290,0,0.7646891474723816,398
CHEMBL33210,0,0.7642548680305481,399
CHEMBL3309670,0,0.7636159062385559,400
CHEMBL38988,0,0.7635529637336731,401
CHEMBL28508,0,0.7635529637336731,402
CHEMBL37092,0,0.7635529637336731,403
CHEMBL24763,0,0.7618300914764404,404
CHEMBL39190,0,0.7618019580841064,405
CHEMBL4543227,0,0.7599777579307556,406
CHEMBL1163228,0,0.7599777579307556,407
CHEMBL8927,0,0.7599777579307556,408
CHEMBL8840,0,0.7597824931144714,409
CHEMBL4559948,0,0.7597824931144714,410
CHEMBL577685,0,0.7597824931144714,411
CHEMBL26031,0,0.7580665946006775,412
CHEMBL1199159,0,0.7580665946006775,413
CHEMBL34765,0,0.7580665946006775,414
CHEMBL3311364,0,0.7580665946006775,415
CHEMBL21888,0,0.7580665946006775,416
CHEMBL27440,0,0.7580665946006775,417
CHEMBL13298,0,0.7579889297485352,418
CHEMBL21352,0,0.7574782967567444,419
CHEMBL9928,0,0.7574782967567444,420
CHEMBL38723,0,0.7562741637229919,421
CHEMBL30133,0,0.7559729218482971,422
CHEMBL17873,0,0.751364529132843,423
CHEMBL33634,0,0.7512986063957214,424
CHEMBL9014,0,0.7503784894943237,425
CHEMBL10711,0,0.7503784894943237,426
CHEMBL1077381,0,0.7503784894943237,427
CHEMBL13176,0,0.7503784894943237,428
CHEMBL4434952,0,0.7497434020042419,429
CHEMBL30110,0,0.7474644780158997,430
CHEMBL25984,0,0.7474644780158997,431
CHEMBL35887,0,0.7472242116928101,432
CHEMBL9016,0,0.7453762888908386,433
CHEMBL36353,0,0.7453762888908386,434
CHEMBL21920,0,0.7453762888908386,435
CHEMBL32957,0,0.7435300350189209,436
CHEMBL7236,0,0.7433399558067322,437
CHEMBL624,0,0.7433399558067322,438
CHEMBL29963,0,0.7406608462333679,439
CHEMBL20104,0,0.7404980063438416,440
CHEMBL34315,0,0.7404980063438416,441
CHEMBL9037,0,0.7404980063438416,442
CHEMBL21014,0,0.7404980063438416,443
CHEMBL12264,0,0.7404980063438416,444
CHEMBL22328,0,0.7404980063438416,445
CHEMBL31399,0,0.7404980063438416,446
CHEMBL30514,0,0.7404980063438416,447
CHEMBL9847,0,0.7402377128601074,448
CHEMBL7965,0,0.7402377128601074,449
CHEMBL7215,0,0.7402377128601074,450
CHEMBL19298,0,0.7402377128601074,451
CHEMBL4434921,0,0.7402377128601074,452
CHEMBL446,0,0.7402377128601074,453
CHEMBL34822,0,0.7402377128601074,454
CHEMBL8107,0,0.7402377128601074,455
CHEMBL1214569,0,0.7402377128601074,456
CHEMBL17922,0,0.7402377128601074,457
CHEMBL18283,0,0.7397426962852478,458
CHEMBL9758,0,0.7376248836517334,459
CHEMBL30965,0,0.7376248836517334,460
CHEMBL16968,0,0.7376248836517334,461
CHEMBL1187911,0,0.7376248836517334,462
CHEMBL29135,0,0.7376248836517334,463
CHEMBL11021,0,0.7351922988891602,464
CHEMBL31182,0,0.7342358231544495,465
CHEMBL18993,0,0.7312741279602051,466
CHEMBL19227,0,0.7306551933288574,467
CHEMBL500090,0,0.7304778695106506,468
CHEMBL21445,0,0.7290776968002319,469
CHEMBL571523,0,0.7290776968002319,470
CHEMBL4435478,0,0.7276315689086914,471
CHEMBL24525,0,0.7276315689086914,472
CHEMBL18529,0,0.7273644208908081,473
CHEMBL41118,0,0.7244511842727661,474
CHEMBL37970,0,0.7244511842727661,475
CHEMBL24154,0,0.7236641049385071,476
CHEMBL1203252,0,0.7231170535087585,477
CHEMBL20722,0,0.7231170535087585,478
CHEMBL4435171,0,0.7231170535087585,479
CHEMBL37459,0,0.7227312922477722,480
CHEMBL39474,0,0.7225158214569092,481
CHEMBL29817,0,0.7225158214569092,482
CHEMBL19987,0,0.720501184463501,483
CHEMBL24850,0,0.720501184463501,484
CHEMBL10798,0,0.720501184463501,485
CHEMBL22857,0,0.7189754247665405,486
CHEMBL1186290,0,0.7189754247665405,487
CHEMBL39392,0,0.7189754247665405,488
CHEMBL25779,0,0.7189754247665405,489
CHEMBL10013,0,0.7189754247665405,490
CHEMBL16307,0,0.7189754247665405,491
CHEMBL8171,0,0.7189754247665405,492
CHEMBL31887,0,0.7189754247665405,493
CHEMBL32730,0,0.7189754247665405,494
CHEMBL23278,0,0.718163013458252,495
CHEMBL13974,0,0.718163013458252,496
CHEMBL9949,0,0.718163013458252,497
CHEMBL41621,0,0.7153297662734985,498
CHEMBL25390,0,0.7142512202262878,499
CHEMBL25895,0,0.7137474417686462,500
CHEMBL27614,0,0.7137474417686462,501
CHEMBL41802,0,0.7134023308753967,502
CHEMBL42629,0,0.7130906581878662,503
CHEMBL31750,0,0.7130906581878662,504
CHEMBL9067,0,0.7130906581878662,505
CHEMBL20164,0,0.7122758030891418,506
CHEMBL38215,0,0.7121269106864929,507
CHEMBL31195,0,0.711122453212738,508
CHEMBL37418,0,0.710752546787262,509
CHEMBL4435597,0,0.7088714241981506,510
CHEMBL38249,0,0.7088714241981506,511
CHEMBL3311240,0,0.7087445259094238,512
CHEMBL38459,0,0.7047747373580933,513
CHEMBL32164,0,0.7036128640174866,514
CHEMBL14595,0,0.703073263168335,515
CHEMBL9873,0,0.7029171586036682,516
CHEMBL11460,0,0.7029171586036682,517
CHEMBL40160,0,0.7029171586036682,518
CHEMBL23873,0,0.7029171586036682,519
CHEMBL40501,0,0.7029171586036682,520
CHEMBL610050,0,0.7029171586036682,521
CHEMBL8188,0,0.702798068523407,522
CHEMBL14492,0,0.7015612721443176,523
CHEMBL20684,0,0.7001160979270935,524
CHEMBL28143,0,0.6997205018997192,525
CHEMBL24435,0,0.6997205018997192,526
CHEMBL25736,0,0.6992371678352356,527
CHEMBL10354,0,0.6981514692306519,528
CHEMBL4543255,0,0.6979786157608032,529
CHEMBL10363,0,0.6963980197906494,530
CHEMBL10884,0,0.6963980197906494,531
CHEMBL4553616,0,0.6958532929420471,532
CHEMBL20584,0,0.6939065456390381,533
CHEMBL9925,0,0.6936889290809631,534
CHEMBL24944,0,0.6930776238441467,535
CHEMBL19113,0,0.6930776238441467,536
CHEMBL15802,0,0.6930776238441467,537
CHEMBL40269,0,0.6930776238441467,538
CHEMBL30257,0,0.6929922103881836,539
CHEMBL24826,0,0.6890191435813904,540
CHEMBL41100,0,0.6880236268043518,541
CHEMBL25823,0,0.6856073141098022,542
CHEMBL39141,0,0.6847948431968689,543
CHEMBL28287,0,0.6847419738769531,544
CHEMBL16291,0,0.684560239315033,545
CHEMBL18991,0,0.6844522953033447,546
CHEMBL29668,0,0.6842491030693054,547
CHEMBL11996,0,0.6842491030693054,548
CHEMBL19555,0,0.6842491030693054,549
CHEMBL19262,0,0.6841532588005066,550
CHEMBL29219,0,0.6819572448730469,551
CHEMBL25645,0,0.681884765625,552
CHEMBL34445,0,0.6806495189666748,553
