,ex4_best,ex8_best,ex4_mean,ex8_mean,n_conf_ex8,heavy_atoms,ex4_ha,ex8_ha,rank_ex4_best,rank_ex8_best,rank_ex4_ha,rank_ex8_ha,enopt_ha_rank,old_decoy_rank,is_known_active,delta_best,rank_delta_best
CHEMBL4560026,-11.51,-11.27,-11.075000000000001,-11.156666666666666,7,29.0,-0.3968965517241379,-0.3886206896551724,42,60,172,187,26,495,0,0.2400000000000002,18
CHEMBL25623,-11.5,-10.64,-11.055,-10.39,7,25.0,-0.46,-0.42560000000000003,44,116,14,96,46,1719,0,0.8599999999999994,72
CHEMBL4435940,-11.48,-11.19,-10.867333333333335,-10.539,7,27.0,-0.4251851851851852,-0.41444444444444445,46,72,94,129,28,1049,0,0.2900000000000009,26
CHEMBL9308,-11.48,-11.49,-11.036666666666667,-11.056666666666667,7,26.0,-0.44153846153846155,-0.4419230769230769,46,42,41,52,9,5914,0,-0.009999999999999787,-4
CHEMBL1214259,-11.48,-11.82,-10.975999999999999,-11.250166666666667,7,26.0,-0.44153846153846155,-0.45461538461538464,46,16,41,27,104,8878,0,-0.33999999999999986,-30
CHEMBL14185,-11.46,-11.42,-11.075000000000001,-11.07,7,28.0,-0.4092857142857143,-0.40785714285714286,48,46,147,142,62,73,0,0.040000000000000924,-2
CHEMBL4435069,-11.42,-11.17,-11.016666666666666,-10.813333333333333,7,28.0,-0.40785714285714286,-0.3989285714285714,49,77,148,168,13,61,0,0.25,28
CHEMBL17634,-11.41,-11.35,-11.065499999999998,-10.9245,7,28.0,-0.40750000000000003,-0.40535714285714286,50,53,149,149,61,46,0,0.0600000000000005,3
CHEMBL10746,-11.4,-12.16,-11.017666666666665,-11.281166666666666,7,26.0,-0.43846153846153846,-0.4676923076923077,51,2,52,12,34,9390,0,-0.7599999999999998,-49
CHEMBL22699,-11.39,-11.32,-10.591166666666666,-10.560833333333333,7,27.0,-0.42185185185185187,-0.4192592592592593,52,57,110,113,33,4407,0,0.07000000000000028,5
CHEMBL583947,-11.38,-11.41,-10.880333333333333,-10.893333333333333,7,26.0,-0.4376923076923077,-0.43884615384615383,53,48,56,60,36,2620,0,-0.02999999999999936,-5
CHEMBL32740,-11.38,-13.11,-11.11,-11.801666666666668,7,29.0,-0.3924137931034483,-0.45206896551724135,53,1,185,28,175,1308,0,-1.7299999999999986,-52
CHEMBL28177,-11.37,-11.18,-10.915000000000001,-10.719833333333332,7,25.0,-0.4548,-0.4472,55,75,18,39,44,1429,0,0.1899999999999995,20
CHEMBL37483,-11.35,-11.69,-11.008333333333333,-11.258666666666668,7,28.0,-0.40535714285714286,-0.4175,58,22,152,117,29,5913,0,-0.33999999999999986,-36
CHEMBL4435459,-11.35,-11.45,-10.766833333333333,-10.928833333333332,7,27.0,-0.42037037037037034,-0.42407407407407405,58,44,116,100,100,3145,0,-0.09999999999999964,-14
CHEMBL13137,-11.35,-11.4,-10.868333333333332,-10.915000000000001,7,25.0,-0.45399999999999996,-0.456,58,50,19,24,18,4493,0,-0.05000000000000071,-8
CHEMBL33205,-11.35,-11.79,-10.693333333333333,-11.036666666666667,7,28.0,-0.40535714285714286,-0.42107142857142854,58,18,152,111,53,233,0,-0.4399999999999995,-40
CHEMBL8779,-11.35,-11.41,-11.111666666666666,-11.08,7,27.0,-0.42037037037037034,-0.4225925925925926,58,48,116,105,137,330,0,-0.0600000000000005,-10
CHEMBL3310263,-11.32,-11.27,-11.045,-10.996666666666664,7,28.0,-0.4042857142857143,-0.40249999999999997,61,60,156,157,63,74,0,0.05000000000000071,-1
CHEMBL34287,-11.31,-10.51,-10.556333333333333,-10.301,7,28.0,-0.40392857142857147,-0.37535714285714283,62,131,159,198,93,559,0,0.8000000000000007,69
CHEMBL26842,-11.3,-11.01,-10.876666666666665,-10.72,7,27.0,-0.41851851851851857,-0.4077777777777778,63,87,121,143,27,530,0,0.2900000000000009,24
CHEMBL1163536,-11.3,-11.24,-10.927833333333332,-11.066666666666665,7,27.0,-0.41851851851851857,-0.41629629629629633,63,65,121,121,37,145,0,0.0600000000000005,2
CHEMBL19349,-11.28,-11.41,-10.864833333333335,-11.019999999999998,7,28.0,-0.40285714285714286,-0.40750000000000003,66,48,162,144,32,1755,0,-0.13000000000000078,-18
CHEMBL23822,-11.28,-11.28,-10.719999999999999,-10.729999999999999,7,28.0,-0.40285714285714286,-0.40285714285714286,66,59,162,156,92,4191,0,0.0,-7
CHEMBL8644,-11.28,-10.68,-10.753333333333332,-10.394499999999999,7,27.0,-0.41777777777777775,-0.39555555555555555,66,112,125,173,101,187,0,0.5999999999999996,46
CHEMBL23963,-11.28,-11.26,-10.893333333333333,-10.706666666666669,7,27.0,-0.41777777777777775,-0.41703703703703704,66,63,125,120,138,130,0,0.019999999999999574,-3
